evidence_score_threshold,intent_confidence_threshold,coverage,auto_precision,n_auto
0.3,0.3,0.3308,0.9057,827
0.3,0.4,0.3228,0.9145,807
0.3,0.5,0.2988,0.9411,747
0.3,0.55,0.2836,0.9563,709
0.3,0.6,0.2688,0.9688,672
0.3,0.65,0.2528,0.9731,632
0.3,0.7,0.2304,0.9774,576
0.3,0.75,0.2108,0.9829,527
0.3,0.8,0.19,0.9832,475
0.3,0.85,0.1652,0.9831,413
0.3,0.9,0.132,0.9818,330
0.4,0.3,0.2284,0.9194,571
0.4,0.4,0.2228,0.9318,557
0.4,0.5,0.208,0.9519,520
0.4,0.55,0.1992,0.9639,498
0.4,0.6,0.188,0.9745,470
0.4,0.65,0.1796,0.9755,449
0.4,0.7,0.168,0.9786,420
0.4,0.75,0.1548,0.9819,387
0.4,0.8,0.142,0.9831,355
0.4,0.85,0.1272,0.9811,318
0.4,0.9,0.1,0.976,250
0.5,0.3,0.1152,0.941,288
0.5,0.4,0.1136,0.9542,284
0.5,0.5,0.1072,0.9664,268
0.5,0.55,0.1056,0.9659,264
0.5,0.6,0.102,0.9725,255
0.5,0.65,0.0988,0.9717,247
0.5,0.7,0.0944,0.9746,236
0.5,0.75,0.0864,0.9769,216
0.5,0.8,0.0808,0.9752,202
0.5,0.85,0.0736,0.9728,184
0.5,0.9,0.0604,0.9669,151
0.55,0.3,0.0632,0.962,158
0.55,0.4,0.0632,0.962,158
0.55,0.5,0.0608,0.9605,152
0.55,0.55,0.06,0.96,150
0.55,0.6,0.0576,0.9722,144
0.55,0.65,0.0556,0.9712,139
0.55,0.7,0.0544,0.9779,136
0.55,0.75,0.0504,0.9762,126
0.55,0.8,0.048,0.975,120
0.55,0.85,0.0448,0.9732,112
0.55,0.9,0.0368,0.9674,92
0.6,0.3,0.0272,0.9706,68
0.6,0.4,0.0272,0.9706,68
0.6,0.5,0.0264,0.9697,66
0.6,0.55,0.0264,0.9697,66
0.6,0.6,0.026,0.9846,65
0.6,0.65,0.0244,0.9836,61
0.6,0.7,0.0236,1.0,59
0.6,0.75,0.022,1.0,55
0.6,0.8,0.022,1.0,55
0.6,0.85,0.0212,1.0,53
0.6,0.9,0.0192,1.0,48
0.65,0.3,0.0104,1.0,26
0.65,0.4,0.0104,1.0,26
0.65,0.5,0.0096,1.0,24
0.65,0.55,0.0096,1.0,24
0.65,0.6,0.0096,1.0,24
0.65,0.65,0.0096,1.0,24
0.65,0.7,0.0096,1.0,24
0.65,0.75,0.0092,1.0,23
0.65,0.8,0.0092,1.0,23
0.65,0.85,0.0092,1.0,23
0.65,0.9,0.0088,1.0,22
0.7,0.3,0.0036,1.0,9
0.7,0.4,0.0036,1.0,9
0.7,0.5,0.0028,1.0,7
0.7,0.55,0.0028,1.0,7
0.7,0.6,0.0028,1.0,7
0.7,0.65,0.0028,1.0,7
0.7,0.7,0.0028,1.0,7
0.7,0.75,0.0024,1.0,6
0.7,0.8,0.0024,1.0,6
0.7,0.85,0.0024,1.0,6
0.7,0.9,0.0024,1.0,6
0.75,0.3,0.002,1.0,5
0.75,0.4,0.002,1.0,5
0.75,0.5,0.0016,1.0,4
0.75,0.55,0.0016,1.0,4
0.75,0.6,0.0016,1.0,4
0.75,0.65,0.0016,1.0,4
0.75,0.7,0.0016,1.0,4
0.75,0.75,0.0016,1.0,4
0.75,0.8,0.0016,1.0,4
0.75,0.85,0.0016,1.0,4
0.75,0.9,0.0016,1.0,4
0.8,0.3,0.0008,1.0,2
0.8,0.4,0.0008,1.0,2
0.8,0.5,0.0008,1.0,2
0.8,0.55,0.0008,1.0,2
0.8,0.6,0.0008,1.0,2
0.8,0.65,0.0008,1.0,2
0.8,0.7,0.0008,1.0,2
0.8,0.75,0.0008,1.0,2
0.8,0.8,0.0008,1.0,2
0.8,0.85,0.0008,1.0,2
0.8,0.9,0.0008,1.0,2
0.85,0.3,0.0004,1.0,1
0.85,0.4,0.0004,1.0,1
0.85,0.5,0.0004,1.0,1
0.85,0.55,0.0004,1.0,1
0.85,0.6,0.0004,1.0,1
0.85,0.65,0.0004,1.0,1
0.85,0.7,0.0004,1.0,1
0.85,0.75,0.0004,1.0,1
0.85,0.8,0.0004,1.0,1
0.85,0.85,0.0004,1.0,1
0.85,0.9,0.0004,1.0,1
0.9,0.3,0.0,,0
0.9,0.4,0.0,,0
0.9,0.5,0.0,,0
0.9,0.55,0.0,,0
0.9,0.6,0.0,,0
0.9,0.65,0.0,,0
0.9,0.7,0.0,,0
0.9,0.75,0.0,,0
0.9,0.8,0.0,,0
0.9,0.85,0.0,,0
0.9,0.9,0.0,,0
